text,label
"hoy me siento feliz con todo lo que logre",alegria
"que lindo dia para arrancar proyectos nuevos",alegria
"estoy contento porque salio todo bien",alegria
"gracias por el apoyo me levantaron el animo",alegria
"la noticia me da mucha esperanza",alegria
"me encanta compartir con mi familia",alegria
"estoy de buen humor y con energia",alegria
"que alegria volver a verlos",alegria
"estoy furioso con el servicio de internet",enojo
"otra vez fallando todo que bronca",enojo
"me tienen cansado con tantas excusas",enojo
"esto es una falta de respeto total",enojo
"no puede ser que siempre pase lo mismo",enojo
"que rabia perder tiempo por errores basicos",enojo
"me molesta que no escuchen a los usuarios",enojo
"hoy estoy enojado con la situacion",enojo
"me siento triste por lo que paso",tristeza
"no tengo ganas de nada hoy",tristeza
"me duele ver a la gente sufrir",tristeza
"extrano mucho a mi amigo",tristeza
"fue un dia pesado y bajon",tristeza
"ando desanimado desde la manana",tristeza
"la noticia me dejo mal",tristeza
"estoy apagado y sin energia",tristeza
"hoy trabaje normal sin novedades",neutral
"estoy revisando correos y pendientes",neutral
"el equipo se reunio a las diez",neutral
"vamos a publicar el reporte semanal",neutral
"el trafico esta como siempre",neutral
"manana hay reunion de seguimiento",neutral
"hice compras y volvi a casa",neutral
"estamos esperando una respuesta oficial",neutral
